transaction_id,amount,time,location,device,is_new_user,transaction_type,prev_transactions,avg_amount,is_night,Class
T1,15895,14,Hyderabad,Laptop,0,Card,60,3192,0,0
T2,54986,18,Bangalore,Tablet,0,UPI,74,3544,0,0
T3,44231,7,Kolkata,Tablet,0,UPI,21,869,0,0
T4,59835,11,Hyderabad,Tablet,1,NetBanking,1,1284,0,0
T5,53807,21,Delhi,Laptop,0,NetBanking,88,574,0,0
T6,25758,9,Bangalore,Mobile,0,NetBanking,59,1075,0,0
T7,59250,14,Kolkata,Tablet,0,UPI,54,1367,0,0
T8,31651,2,Kolkata,Mobile,1,Card,6,2988,1,0
T9,80138,17,Bangalore,Tablet,1,Card,59,2161,0,0
T10,74069,8,Kolkata,Mobile,0,Card,1,1463,0,0
T11,23583,6,Delhi,Tablet,0,UPI,7,4114,0,0
T12,80177,16,Kolkata,Tablet,0,NetBanking,3,3173,0,0
T13,66657,5,Delhi,Laptop,0,Card,3,1600,1,0
T14,45858,17,Hyderabad,Laptop,0,UPI,33,4397,0,0
T15,92193,3,Mumbai,Tablet,0,Card,47,3442,1,0
T16,94763,13,Kolkata,Mobile,0,Card,61,437,0,0
T17,82898,20,Mumbai,Laptop,0,NetBanking,88,4959,0,0
T18,39199,12,Hyderabad,Tablet,0,UPI,14,3984,0,0
T19,49084,6,Mumbai,Mobile,0,Card,0,2127,0,0
T20,2795,23,Kolkata,Tablet,0,UPI,80,491,1,0
T21,14086,2,Kolkata,Laptop,0,Card,4,3661,1,0
T22,26954,8,Mumbai,Laptop,1,NetBanking,72,4975,0,0
T23,52356,15,Delhi,Mobile,0,Card,61,904,0,0
T24,96454,11,Hyderabad,Tablet,0,NetBanking,90,1670,0,0
T25,70692,2,Hyderabad,Tablet,0,Card,77,2790,1,0
T26,53092,4,Kolkata,Mobile,0,Card,13,970,1,0
T27,306,14,Mumbai,Mobile,0,UPI,76,963,0,0
T28,54368,3,Bangalore,Tablet,1,Card,22,1778,1,1
T29,33927,12,Bangalore,Mobile,0,Card,58,3414,0,0
T30,22399,1,Delhi,Mobile,0,UPI,61,3160,1,0
T31,2793,11,Delhi,Mobile,0,Card,29,2081,0,0
T32,21934,22,Hyderabad,Mobile,1,UPI,61,1406,0,0
T33,61473,19,Kolkata,Laptop,0,Card,2,809,0,0
T34,22059,8,Hyderabad,Tablet,0,Card,96,4879,0,0
T35,66299,14,Kolkata,Tablet,0,NetBanking,31,1595,0,0
T36,68940,19,Mumbai,Mobile,0,UPI,57,4759,0,0
T37,83311,6,Delhi,Laptop,0,UPI,55,3252,0,0
T38,26836,1,Mumbai,Mobile,0,NetBanking,53,954,1,0
T39,90184,0,Mumbai,Laptop,0,Card,1,1807,1,0
T40,26409,22,Hyderabad,Mobile,0,Card,74,3355,0,0
T41,12788,5,Bangalore,Tablet,0,NetBanking,97,297,1,0
T42,89145,10,Mumbai,Tablet,1,Card,15,708,0,0
T43,93484,5,Kolkata,Mobile,0,UPI,2,759,1,0
T44,2911,3,Bangalore,Mobile,0,UPI,66,246,1,0
T45,11511,6,Kolkata,Mobile,0,UPI,32,2059,0,0
T46,71395,6,Hyderabad,Laptop,1,NetBanking,0,1902,0,0
T47,8255,17,Hyderabad,Tablet,1,Card,93,3469,0,0
T48,30406,6,Delhi,Mobile,0,NetBanking,89,723,0,0
T49,16471,16,Bangalore,Mobile,0,UPI,47,3823,0,0
T50,21032,4,Bangalore,Tablet,1,NetBanking,8,3270,1,0
T51,42742,15,Kolkata,Tablet,1,Card,19,3291,0,0
T52,59140,23,Kolkata,Mobile,1,UPI,71,1545,1,1
T53,53451,19,Hyderabad,Laptop,0,NetBanking,88,198,0,0
T54,2300,17,Kolkata,Mobile,0,Card,81,3877,0,0
T55,2969,2,Kolkata,Mobile,0,NetBanking,40,4167,1,0
T56,90372,3,Bangalore,Mobile,0,UPI,20,4087,1,0
T57,58971,7,Hyderabad,Laptop,1,NetBanking,16,4835,0,0
T58,44164,15,Kolkata,Laptop,0,Card,85,3546,0,0
T59,17529,13,Kolkata,Laptop,0,Card,50,2585,0,0
T60,5995,1,Delhi,Mobile,0,NetBanking,96,1059,1,0
T61,5700,4,Bangalore,Mobile,0,NetBanking,47,4854,1,0
T62,56935,2,Delhi,Tablet,0,Card,16,1343,1,0
T63,18689,13,Kolkata,Mobile,1,NetBanking,98,1160,0,0
T64,18811,16,Hyderabad,Laptop,0,Card,94,3270,0,0
T65,66335,0,Bangalore,Mobile,0,UPI,84,3075,1,0
T66,6202,0,Mumbai,Mobile,0,UPI,17,1916,1,0
T67,32845,21,Mumbai,Mobile,0,Card,45,3963,0,0
T68,73091,14,Delhi,Laptop,1,Card,65,254,0,0
T69,10829,1,Delhi,Mobile,0,Card,32,4441,1,0
T70,54848,9,Bangalore,Laptop,1,Card,98,1941,0,0
T71,29692,23,Bangalore,Mobile,1,Card,6,4231,1,0
T72,70416,19,Delhi,Mobile,0,UPI,15,2801,0,0
T73,91183,18,Hyderabad,Tablet,0,Card,91,2874,0,0
T74,99257,18,Delhi,Laptop,0,Card,62,3361,0,0
T75,50400,21,Kolkata,Laptop,0,NetBanking,85,1815,0,0
T76,70413,5,Delhi,Mobile,0,NetBanking,59,2760,1,0
T77,80235,20,Kolkata,Tablet,0,NetBanking,4,4969,0,0
T78,66512,19,Delhi,Mobile,0,Card,98,4464,0,0
T79,17119,9,Delhi,Laptop,0,NetBanking,16,219,0,0
T80,82850,18,Hyderabad,Laptop,0,Card,54,1469,0,0
T81,90952,20,Delhi,Mobile,0,NetBanking,8,2031,0,0
T82,74840,0,Bangalore,Mobile,0,UPI,0,2949,1,0
T83,46275,21,Delhi,Laptop,0,UPI,0,3443,0,0
T84,13600,6,Mumbai,Laptop,0,NetBanking,68,2394,0,0
T85,73766,11,Mumbai,Mobile,0,Card,50,2844,0,0
T86,93568,13,Kolkata,Laptop,0,UPI,46,2241,0,0
T87,96081,19,Mumbai,Tablet,0,Card,15,2365,0,0
T88,35347,20,Delhi,Tablet,0,UPI,32,1857,0,0
T89,26746,9,Delhi,Tablet,1,Card,99,2949,0,0
T90,40258,9,Bangalore,Mobile,0,UPI,57,1731,0,0
T91,60260,23,Bangalore,Tablet,0,Card,3,3187,1,0
T92,52091,15,Bangalore,Tablet,0,UPI,91,995,0,0
